round,player_A,player_B
R128,Aryna Sabalenka,Tiantsoa Rakotomanga Rajaonah
R128,Anastasia Pavlyuchenkova,Zhuoxuan Bai
R128,Suzan Lamens,Anastasia Potapova
R128,Mananchaya Sawangkaew,Emma Raducanu
R128,Victoria Mboko,Emerson Jones
R128,Catherine McNally,Himeno Sakatsume
R128,Polina Kudermetova,Guiomar Maristany Zuleta De Reales
R128,Dalma Galfi,Clara Tauson
R128,Ekaterina Alexandrova,Zeynep Sonmez
R128,Anna Bondar,Elizabeth Mandlik
R128,Yulia Putintseva,Beatriz Haddad Maia
R128,Elsa Jacquemot,Marta Kostyuk
R128,Iva Jovic,Katie Volynets
R128,Priscilla Hon,Marina Stakusic
R128,Veronika Erjavec,Magdalena Frech
R128,Aliaksandra Sasnovich,Jasmine Paolini
R128,Coco Gauff,Kamilla Rakhimova
R128,Olga Danilovic,Venus Williams
R128,Storm Hunter,Jessica Bouzas Maneiro
R128,Hailey Baptiste,Taylor Townsend
R128,Karolina Muchova,Jaqueline Cristian
R128,Alycia Parks,Alexandra Eala
R128,Ann Li,Camila Osorio
R128,Magda Linette,Emma Navarro
R128,Elina Svitolina,Cristina Bucsa
R128,Linda Klimovicova,Francesca Jones
R128,Talia Gibson,Anna Blinkova
R128,Barbora Krejcikova,Diana Shnaider
R128,Dayana Yastremska,Elena Gabriela Ruse
R128,Yuliia Starodubtseva,Ajla Tomljanovic
R128,Maria Sakkari,Leolia Jeanjean
R128,Donna Vekic,Mirra Andreeva
R128,Jessica Pegula,Anastasia Zakharova
R128,Emiliana Arango,McCartney Kessler
R128,Oksana Selekhmeteva,Ella Seidel
R128,Zarina Diyas,Paula Badosa
R128,Leylah Fernandez,Janice Tjen
R128,Karolina Pliskova,Sloane Stephens
R128,Ashlyn Krueger,Sara Bejlek
R128,Oleksandra Oliynykova,Madison Keys
R128,Linda Noskova,Darja Semenistaja
R128,Shuai Zhang,Taylah Preston
R128,Xinyu Wang,Anhelina Kalinina
R128,Rebecca Sramkova,Jelena Ostapenko
R128,Sofia Kenin,Peyton Stearns
R128,Petra Marcinko,Tatjana Maria
R128,Panna Udvardy,Katerina Siniakova
R128,Simona Waltert,Amanda Anisimova
R128,Elena Rybakina,Iga Swiatek
R128,Kaja Juvan,Varvara Gracheva
R128,Viktorija Golubic,Lulu Sun
R128,Linda Fruhvirtova,Tereza Valentova
R128,Maya Joint,Elise Mertens
R128,Lanlana Tararudee,Solana Sierra
R128,Moyuka Uchijima,Daria Kasatkina
R128,Nikola Bartunkova,Katie Boulter
R128,Belinda Bencic,Naomi Osaka
R128,Antonia Ruzic,Sorana Cirstea
R128,Maddison Inglis,Kimberly Birrell
R128,Laura Siegemund,Liudmila Samsonova
R128,Anna Kalinskaya,Sonay Kartal
R128,Julia Grabher,Elisabetta Cocciaretto
R128,Renata Zarazua,Marie Bouzkova
R128,Yue Yuan,Iga Swiatek
