round,player_A,player_B
R128,Jannik Sinner,Clement Tabur
R128,Jacob Fearnley,Juan Manuel Cerundolo
R128,Martin Landaluce,Juan Carlos Prado Angelo
R128,Vit Kopriva,Corentin Moutet
R128,Arthur Rinderknech,Jurij Rodionov
R128,Marton Fucsovics,Matteo Berrettini
R128,Ethan Quinn,Francisco Comesana
R128,Sebastian Ofner,Luciano Darderi
R128,Alexander Bublik,Jan-Lennard Struff
R128,Jaime Faria,Denis Shapovalov
R128,Jaume Munar,Hubert Hurkacz
R128,Eliot Spizzirri,Frances Tiafoe
R128,Tallon Griekspoor,Matteo Arnaldi
R128,Alexandre Muller,Stefanos Tsitsipas
R128,Raphael Collignon,Aleksandar Vukic
R128,Daniel Merida,Ben Shelton
R128,Felix Auger-Aliassime,Daniel Altmaier
R128,Sebastian Baez,Roman Andres Burruchaga
R128,Luca Van Assche,Patrick Kypson
R128,Roberto Bautista Agut,Brandon Nakashima
R128,Cameron Norrie,Adolfo Daniel Vallejo
R128,Marin Cilic,Moise Kouame
R128,Alejandro Tabilo,Kamil Majchrzak
R128,Thomas Faurel,Valentin Vacherot
R128,Flavio Cobolli,Andrea Pellegrino
R128,Yibing Wu,Marcos Giron
R128,Facundo Diaz Acosta,Zhizhen Zhang
R128,Cristian Garin,Learner Tien
R128,Francisco Cerundolo,Botic Van De Zandschulp
R128,Hugo Gaston,Gael Monfils
R128,Alexei Popyrin,Zachary Svajda
R128,Adam Walton,Daniil Medvedev
R128,Alex De Minaur,Toby Samuel
R128,Alexander Blockx,Coleman Wong
R128,Mariano Navone,Jenson Brooksby
R128,Titouan Droguet,Jakub Mensik
R128,Tomas Martin Etcheverry,Nuno Borges
R128,Miomir Kecmanovic,Fabian Marozsan
R128,Emilio Nava,Camilo Ugo Carabelli
R128,Ignacio Buse,Andrey Rublev
R128,Casper Ruud,Roman Safiullin
R128,Hamad Medjedovic,Yannick Hanfmann
R128,Lorenzo Sonego,Pierre-Hugues Herbert
R128,Rinky Hijikata,Tommy Paul
R128,Joao Fonseca,Luka Pavlovic
R128,Michael Zheng,Dino Prizmic
R128,Hugo Dellien,Valentin Royer
R128,Giovanni Mpetshi Perricard,Novak Djokovic
R128,Taylor Fritz,Nishesh Basavareddy
R128,Alexander Shevchenko,Alex Michelsen
R128,James Duckworth,Gabriel Diallo
R128,Aleksandar Kovacevic,Rafael Jodar
R128,Alejandro Davidovich Fokina,Damir Dzumhur
R128,Pablo Llamas Ruiz,Thiago Agustin Tirante
R128,Thanasi Kokkinakis,Terence Atmane
R128,Pablo Carreno Busta,Jiri Lehecka
R128,Karen Khachanov,Arthur Gea
R128,Kyrian Jacquet,Marco Trungelliti
R128,Federico Cina,Reilly Opelka
R128,Stan Wawrinka,Arthur Fils
R128,Ugo Humbert,Adrian Mannarino
R128,Quentin Halys,Mattia Bellucci
R128,Tomas Machac,Zizou Bergs
R128,Benjamin Bonzi,Alexander Zverev
