round,player_A,player_B
R128,Aryna Sabalenka,Jessica Bouzas Maneiro
R128,Linda Fruhvirtova,Elsa Jacquemot
R128,Daria Kasatkina,Zeynep Sonmez
R128,Susan Bandecchi,Cristina Bucsa
R128,Iva Jovic,Alexandra Eala
R128,Emma Navarro,Janice Tjen
R128,Donna Vekic,Alice Tubello
R128,Laura Siegemund,Naomi Osaka
R128,Victoria Mboko,Nikola Bartunkova
R128,Simona Waltert,Katerina Siniakova
R128,Antonia Ruzic,Ashlyn Krueger
R128,Hanne Vandewinkel,Madison Keys
R128,Diana Shnaider,Renata Zarazua
R128,Hanyu Guo,Mccartney Kessler
R128,Elena Pridankina,Oleksandra Oliynykova
R128,Kimberly Birrell,Jessica Pegula
R128,Coco Gauff,Taylor Townsend
R128,Dalma Galfi,Mayar Sherif
R128,Akasha Urhobo,Katie Boulter
R128,Maya Joint,Anastasia Potapova
R128,Anna Kalinskaya,Lois Boisson
R128,Alina Korneeva,Elisabetta Cocciaretto
R128,Talia Gibson,Yulia Putintseva
R128,Camila Osorio,Ekaterina Alexandrova
R128,Linda Noskova,Maria Sakkari
R128,Claire Liu,Moyuka Uchijima
R128,Maja Chwalinska,Qinwen Zheng
R128,Tatjana Maria,Elise Mertens
R128,Ann Li,Shuai Zhang
R128,Anhelina Kalinina,Diane Parry
R128,Julia Grabher,Rebecca Sramkova
R128,Tiantsoa Rakotomanga Rajaonah,Amanda Anisimova
R128,Elina Svitolina,Anna Bondar
R128,Kaitlin Quevedo,Leolia Jeanjean
R128,Sara Sorribes Tormo,Tamara Korpatsch
R128,Lilli Tagger,Xinyu Wang
R128,Clara Tauson,Daria Snigur
R128,Sofia Kenin,Peyton Stearns
R128,Ajla Tomljanovic,Caty McNally
R128,Sinja Kraus,Belinda Bencic
R128,Marta Kostyuk,Oksana Selekhmeteva
R128,Katie Volynets,Clara Burel
R128,Panna Udvardy,Viktorija Golubic
R128,Alycia Parks,Leylah Fernandez
R128,Jelena Ostapenko,Ella Seidel
R128,Tereza Valentova,Magda Linette
R128,Sara Bejlek,Sloane Stephens
R128,Emerson Jones,Iga Swiatek
R128,Mirra Andreeva,Fiona Ferro
R128,Marina Bassols Ribera,Emiliana Arango
R128,Francesca Jones,Beatriz Haddad Maia
R128,Lucia Bronzetti,Marie Bouzkova
R128,Liudmila Samsonova,Jil Teichmann
R128,Magdalena Frech,Elena-Gabriela Ruse
R128,Kamilla Rakhimova,Jaqueline Cristian
R128,Anastasia Zakharova,Karolina Muchova
R128,Jasmine Paolini,Dayana Yastremska
R128,Emma Raducanu,Solana Sierra
R128,Petra Marcinko,Eva Lys
R128,Ksenia Efremova,Sorana Cirstea
R128,Hailey Baptiste,Barbora Krejcikova
R128,Danka Kovinic,Xiyu Wang
R128,Anna Blinkova,Yuliia Starodubtseva
R128,Veronika Erjavec,Elena Rybakina
