round,player_A,player_B
R128,Carlos Alcaraz,Adam Walton
R128,Yannick Hanfmann,Zachary Svajda
R128,Michael Zheng,Sebastian Korda
R128,Tristan Schoolkate,Corentin Moutet
R128,Tommy Paul,Aleksandar Kovacevic
R128,Thiago Tirante,Aleksandar Vukic
R128,Nicolai Budkov Kjaer,Reilly Opelka
R128,Filip Misolic,Alejandro Davidovich Fokina
R128,Alexander Bublik,Jenson Brooksby
R128,Camilo Ugo Carabelli,Marton Fucsovics
R128,Miomir Kecmanovic,Tomas Martin Etcheverry
R128,Arthur Fery,Flavio Cobolli
R128,Frances Tiafoe,Jason Kubler
R128,Patrick Kypson,Francisco Comesana
R128,Mariano Navone,Hamad Medjedovic
R128,Mackenzie McDonald,Alex De Minaur
R128,Alexander Zverev,Gabriel Diallo
R128,Alexei Popyrin,Alexandre Muller
R128,Emilio Nava,Kent Jacquet
R128,Benjamin Bonzi,Cameron Norrie
R128,Francisco Cerundolo,Zhizhen Zhang
R128,Liam Draxl,Damir Dzumhur
R128,Alexander Blockx,Jaime Faria
R128,Matteo Arnaldi,Andrey Rublev
R128,Daniil Medvedev,Jesper De Jong
R128,Quentin Halys,Alejandro Tabilo
R128,Kamil Majchrzak,Jacob Fearnley
R128,Fabian Marozsan,Arthur Rinderknech
R128,Learner Tien,Marcos Giron
R128,Elias Ymer,Alexander Shevchenko
R128,Juan Manuel Cerundolo,Jordan Thompson
R128,Nuno Borges,Felix Auger-Aliassime
R128,Lorenzo Musetti,Raphael Collignon
R128,Lorenzo Sonego,Carlos Taberner
R128,Grigor Dimitrov,Tomas Machac
R128,Shintaro Mochizuki,Stefanos Tsitsipas
R128,Jiri Lehecka,Alexandre Gea
R128,Laslo Djere,Stan Wawrinka
R128,Vitus Kopriva,Jan-Lennard Struff
R128,Valentin Royer,Taylor Fritz
R128,Jakub Mensik,Pablo Carreno Busta
R128,Ryusei Sakamoto,Romero Jodar
R128,Hubert Hurkacz,Zizou Bergs
R128,Ethan Quinn,Tallon Griekspoor
R128,Brandon Nakashima,Botic Van De Zandschulp
R128,Juncheng Shang,Roberto Bautista Agut
R128,Terence Atmane,Francesco Maestrelli
R128,Pedro Martinez,Novak Djokovic
R128,Ben Shelton,Ugo Humbert
R128,Dane Sweeny,Gael Monfils
R128,Adrian Mannarino,Rinky Hijikata
R128,Martin Damm,Valentin Vacherot
R128,Denis Shapovalov,Yunchaokete Bu
R128,Daniel Altmaier,Marin Cilic
R128,Jaume Munar,Dalibor Svrcina
R128,Mattia Bellucci,Casper Ruud
R128,Karen Khachanov,Alex Michelsen
R128,Christopher O'Connell,Nishesh Basavareddy
R128,Giovanni Mpetshi Perricard,Sebastian Baez
R128,Cristian Garin,Luciano Darderi
R128,Joao Fonseca,Eliot Spizzirri
R128,Luca Nardi,Wu Yibing
R128,James Duckworth,Dino Prizmic
R128,Hugo Gaston,Jannik Sinner
