date,Player,surface,won,clay_win_rate_20,clay_match_count_20
2001-01-29,Delgado R.,clay,1,,1.0
2001-01-29,Serrano O.,clay,0,,0.0
2001-01-29,Hantschk M.,clay,0,,0.0
2001-01-29,Hantschk M.,clay,1,,1.0
2001-01-29,Agenor R.,clay,0,,0.0
2001-01-29,Hirigoyen I.,clay,0,,0.0
2001-01-29,Hirigoyen I.,clay,1,,1.0
2001-01-29,Horna L.,clay,0,,0.0
2001-01-29,Sa A.,clay,0,,0.0
2001-01-29,Russell M.,clay,0,,0.0
2001-01-29,Rodriguez M.,clay,0,,0.0
2001-01-29,Etlis G.,clay,0,,0.0
2001-01-29,Hadad M.,clay,1,,2.0
2001-01-29,Delgado R.,clay,0,,0.0
2001-01-29,Nalbandian D.,clay,1,,2.0
2001-01-29,Nalbandian D.,clay,1,,1.0
2001-01-29,Nalbandian D.,clay,0,,0.0
2001-01-29,Moyano D.,clay,0,,0.0
2001-01-29,Charpentier M.,clay,0,,0.0
2001-01-29,Chela J.I.,clay,0,,0.0
2001-01-29,Chela J.I.,clay,1,,1.0
2001-01-29,Chela J.I.,clay,1,,2.0
2001-01-29,Chela J.I.,clay,1,0.6666666666666666,3.0
2001-01-29,Chela J.I.,clay,1,0.75,4.0
2001-01-29,Marin J.A.,clay,0,,0.0
2001-01-29,Davydenko N.,clay,0,,0.0
2001-01-29,Hadad M.,clay,1,,1.0
2001-01-29,Hadad M.,clay,0,,0.0
2001-01-29,Simoni A.,clay,0,,0.0
2001-01-29,Alvarez E.,clay,0,,0.0
2001-01-29,Viloca J.A.,clay,1,0.6666666666666666,3.0
2001-01-29,Viloca J.A.,clay,1,,2.0
2001-01-29,Viloca J.A.,clay,1,,1.0
2001-01-29,Viloca J.A.,clay,0,,0.0
2001-01-29,Vicente F.,clay,1,1.0,4.0
2001-01-29,Vicente F.,clay,1,1.0,3.0
2001-01-29,Vicente F.,clay,1,,2.0
2001-01-29,Vicente F.,clay,1,,1.0
2001-01-29,Vicente F.,clay,1,,0.0
2001-01-29,Armando H.,clay,1,,0.0
2001-01-29,Armando H.,clay,0,,1.0
2001-01-29,Tobon M.,clay,1,,1.0
2001-01-29,Tobon M.,clay,0,,0.0
2001-01-29,Zib T.,clay,0,,0.0
2001-01-29,Gonzalez F.,clay,0,,0.0
2001-01-29,Gonzalez F.,clay,1,,1.0
2001-01-29,Stoliarov A.,clay,1,,2.0
2001-01-29,Stoliarov A.,clay,1,,1.0
2001-01-29,Stoliarov A.,clay,0,,0.0
2001-01-29,Stanoytchev O.,clay,0,,0.0
2001-01-29,Srichaphan P.,clay,0,,0.0
2001-01-29,Simoni A.,clay,1,0.6666666666666666,3.0
2001-01-29,Simoni A.,clay,1,,2.0
2001-01-29,Simoni A.,clay,1,,1.0
2001-01-29,Marin J.A.,clay,1,,1.0
2001-01-29,Meligeni F.,clay,0,,0.0
2001-01-29,Etlis G.,clay,1,,1.0
2001-01-29,Coria G.,clay,1,,1.0
2001-01-29,Costa A.,clay,0,,0.0
2001-01-29,Massu N.,clay,0,,0.0
2001-01-29,Coria G.,clay,1,,2.0
2001-01-29,Coria G.,clay,0,,0.0
2001-02-12,Lopez F.,clay,1,,2.0
2001-02-12,Lopez F.,clay,1,,1.0
2001-02-12,Calatrava A.,clay,0,,0.0
2001-02-12,Massu N.,clay,0,,1.0
2001-02-12,Hantschk M.,clay,0,,2.0
2001-02-12,Nalbandian D.,clay,1,0.5,4.0
2001-02-12,Nalbandian D.,clay,1,0.6,5.0
2001-02-12,Clavet F.,clay,1,,2.0
2001-02-12,Robredo T.,clay,0,,0.0
2001-02-12,Sanchez D.,clay,0,,0.0
2001-02-12,El Aynaoui Y.,clay,0,,0.0
2001-02-12,Coria G.,clay,1,0.6666666666666666,3.0
2001-02-12,Bruguera S.,clay,0,,0.0
2001-02-12,Nalbandian D.,clay,0,0.6666666666666666,3.0
2001-02-12,Puentes G.,clay,0,,0.0
2001-02-12,Coria G.,clay,1,0.75,4.0
2001-02-12,Alami K.,clay,1,,1.0
2001-02-12,di Pasquale A.,clay,0,,0.0
2001-02-12,Calleri A.,clay,0,,0.0
2001-02-12,Gonzalez F.,clay,1,0.3333333333333333,3.0
2001-02-12,Gonzalez F.,clay,0,,2.0
2001-02-12,Gaudio G.,clay,1,0.75,4.0
2001-02-12,Gaudio G.,clay,1,0.6666666666666666,3.0
2001-02-12,Gaudio G.,clay,1,,2.0
2001-02-12,Gaudio G.,clay,1,,1.0
2001-02-12,Gaudio G.,clay,0,,0.0
2001-02-12,Blanco G.,clay,0,,0.0
2001-02-12,Blanco G.,clay,1,,1.0
2001-02-12,Vicente F.,clay,0,1.0,5.0
2001-02-12,Sanchez D.,clay,1,,1.0
2001-02-12,Coria G.,clay,1,0.8,5.0
2001-02-12,Alami K.,clay,0,,0.0
2001-02-12,Rios M.,clay,0,,0.0
2001-02-12,Lopez F.,clay,0,,0.0
2001-02-12,Martin A.,clay,1,,1.0
2001-02-12,Clavet F.,clay,0,,0.0
2001-02-12,Arazi H.,clay,1,,1.0
2001-02-12,Squillari F.,clay,0,,0.0
2001-02-12,Squillari F.,clay,1,,1.0
2001-02-12,Arazi H.,clay,0,,0.0
2001-02-12,Clavet F.,clay,1,,1.0
2001-02-12,Arquez P.,clay,0,,0.0
2001-02-12,Coria G.,clay,1,0.8571428571428571,7.0
2001-02-12,Chela J.I.,clay,0,0.8,5.0
2001-02-12,Zabaleta M.,clay,1,0.6666666666666666,3.0
2001-02-12,Martin A.,clay,0,,0.0
2001-02-12,Coria G.,clay,1,0.8333333333333334,6.0
2001-02-12,Martin A.,clay,1,,2.0
2001-02-12,Zabaleta M.,clay,1,,2.0
2001-02-12,Zabaleta M.,clay,1,,1.0
2001-02-12,Calatrava A.,clay,1,,1.0
2001-02-12,Garcia A.,clay,0,,0.0
2001-02-12,Rochus C.,clay,0,,0.0
2001-02-12,Portas A.,clay,0,,0.0
2001-02-12,Portas A.,clay,1,,2.0
2001-02-12,Elsner D.,clay,0,,0.0
2001-02-12,Zabaleta M.,clay,0,,0.0
2001-02-12,Elsner D.,clay,1,,1.0
2001-02-12,Fromberg R.,clay,0,,0.0
2001-02-12,Mantilla F.,clay,0,,0.0
2001-02-12,Portas A.,clay,1,,1.0
2001-02-12,Portas A.,clay,1,0.6666666666666666,3.0
2001-02-19,Arazi H.,clay,0,,2.0
2001-02-19,Acasuso J.,clay,1,1.0,3.0
2001-02-19,Coria G.,clay,0,0.8888888888888888,9.0
2001-02-19,Vicente F.,clay,1,0.875,8.0
2001-02-19,Vicente F.,clay,0,0.8888888888888888,9.0
2001-02-19,Sanchez D.,clay,0,,2.0
2001-02-19,Coria G.,clay,1,0.8,10.0
2001-02-19,Vicente F.,clay,1,0.8333333333333334,6.0
2001-02-19,Vicente F.,clay,1,0.8571428571428571,7.0
2001-02-19,Vanek J.,clay,1,,0.0
2001-02-19,Acasuso J.,clay,0,1.0,4.0
