player,elo_global,elo_clay,elo_hard,elo_grass
Sinner J.,2288.512293109127,1885.1854833644397,2255.6426055864995,1956.8058876860284
Alcaraz C.,2260.41461469937,2029.973249594002,2109.271533745688,2016.1192429533774
Djokovic N.,2080.0860080992325,1959.0806242369256,2053.4550556415375,2109.461026267049
Soderling R.,2010.7776582303693,1875.6132429243203,1963.2768861291186,1758.1457977695502
Federer R.,1993.3844074546887,1897.14748094211,2037.9401359786164,2018.83712449886
Auger-Aliassime F.,1940.928393970013,1636.0396569237037,1910.4556078467715,1598.4347806594983
Zverev A.,1931.6027070366451,1859.4675225326203,1928.36154519006,1726.6133733335762
Nadal R.,1924.3372254320527,2038.774280424882,1942.9861646797642,1925.9604893323983
Bautista R.,1911.8566106594158,1665.2758065491762,1872.4879485451268,1687.4316115635083
Del Potro J.M.,1908.7348641045262,1787.3697793059337,1984.5960744983558,1778.3097263990837
De Minaur A.,1900.8106387994023,1704.551114865958,1864.7993851354413,1776.6247454393367
Fritz T.,1897.443513839958,1668.399704133794,1834.0260378749388,1861.3482205397
Draper J.,1894.4701121291,1638.1783914650393,1906.4338170423753,1676.6129736070363
Bublik A.,1871.4573404857135,1659.955861971575,1721.9075492285053,1728.9320237196362
Musetti L.,1855.1990014897622,1828.0082098571565,1766.696137309411,1706.6919398623618
Medvedev D.,1851.6179936837993,1708.8332336783237,1843.02565600406,1771.504524067934
Shelton B.,1851.4971954499406,1618.6621139616532,1807.1927659939524,1635.0337261094662
Roddick A.,1850.2315838317522,1614.6109080213148,1818.4331255800698,1832.7561451691756
Dimitrov G.,1848.4251542135228,1719.5502527367307,1829.270018419485,1718.52384308464
Paul T.,1838.2815847283043,1705.8054009874013,1764.950780313685,1700.461403147607
Fils A.,1836.7263010524487,1695.1689911074645,1748.5748283828893,1593.7048601250144
Kyrgios N.,1829.5271643737442,1640.8762038743212,1781.0750564762031,1811.3003436588922
Agassi A.,1817.4893866264895,1650.587613233039,1834.4559717917698,1615.6326802600329
Lehecka J.,1815.9270702589977,1609.3825564152728,1778.5342172828282,1641.1075336229844
Tien L.,1803.0838935167003,1464.1799268823963,1772.8642442566406,1520.4268928283918
Ruud C.,1798.6575025655748,1852.2226004021027,1718.2724708050664,1487.6536456449578
Rune H.,1790.4965808264908,1747.6488792966893,1798.2431318812187,1619.1913351827473
Davidovich Fokina A.,1789.433546674734,1634.6508725203282,1745.6781891129672,1580.2762185613037
Hurkacz H.,1787.8798301499057,1689.4854389755872,1762.245252584982,1704.748768497453
Sampras P.,1783.1286200203199,1470.9698571371634,1809.6898538877253,1565.9570046471933
Norrie C.,1778.0379826219137,1707.952883569331,1693.3045991746408,1713.523317383698
Raonic M.,1774.7318182847753,1751.2561972311619,1774.1264174375008,1749.6355480869122
Munar J.,1766.7235096762997,1555.95575328802,1685.220311917127,1527.7674314672822
Fonseca J.,1763.3314394112429,1609.526839790011,1685.487907618725,1527.5654565243087
Ancic M.,1757.5798156199326,1673.5094886764125,1748.3681193287464,1837.867562317221
Rinderknech A.,1755.7579517352874,1527.909694583625,1703.6137010807317,1577.9040585908297
Rafter P.,1755.6629267337821,1482.9072579089434,1712.8867521152506,1636.5579365919139
