date,season,tournament,surface,winner,loser,winner_rank,loser_rank,b365w,b365l
2001-01-01,2001,AAPT Championships,Hard,Clement A.,Gaudenzi A.,18.0,101,,
2001-01-01,2001,Qatar Open,Hard,Jonsson F.,Sanguinetti D.,203.0,65,,
2001-01-01,2001,Qatar Open,Hard,Escude N.,El Aynaoui Y.,48.0,25,,
2001-01-01,2001,Qatar Open,Hard,di Pasquale A.,Zabaleta M.,60.0,61,,
2001-01-01,2001,Qatar Open,Hard,Calatrava A.,Koubek S.,56.0,54,,
2001-01-01,2001,Qatar Open,Hard,Boutter J.,Ivanisevic G.,70.0,129,,
2001-01-01,2001,Qatar Open,Hard,Arazi H.,Portas A.,30.0,51,,
2001-01-01,2001,TATA Open,Hard,Tabara M.,Stoliarov A.,96.0,122,,
2001-01-01,2001,TATA Open,Hard,Tabara M.,Pless K.,96.0,197,,
2001-01-01,2001,TATA Open,Hard,Stoliarov A.,Robredo T.,122.0,131,,
2001-01-01,2001,TATA Open,Hard,Tabara M.,Pioline C.,96.0,16,,
2001-01-01,2001,TATA Open,Hard,Stoliarov A.,Wessels P.,122.0,150,,
2001-01-01,2001,TATA Open,Hard,Robredo T.,Saulnier C.,131.0,130,,
2001-01-01,2001,TATA Open,Hard,Pless K.,Voinea A.,197.0,110,,
2001-01-01,2001,TATA Open,Hard,Wessels P.,Youzhny M.,150.0,113,,
2001-01-01,2001,TATA Open,Hard,Voinea A.,Golmard J.,110.0,42,,
2001-01-01,2001,TATA Open,Hard,Tabara M.,Kempes E.,96.0,126,,
2001-01-01,2001,TATA Open,Hard,Stoliarov A.,Vinciguerra A.,122.0,52,,
2001-01-01,2001,TATA Open,Hard,Saulnier C.,Black B.,130.0,35,,
2001-01-01,2001,TATA Open,Hard,Robredo T.,Sanchez D.,131.0,89,,
2001-01-01,2001,Qatar Open,Hard,Kafelnikov Y.,Clavet F.,5.0,49,,
2001-01-01,2001,Qatar Open,Hard,Kiefer N.,Bjorkman J.,20.0,44,,
2001-01-01,2001,Qatar Open,Hard,Mirnyi M.,Prinosil D.,40.0,38,,
2001-01-01,2001,Qatar Open,Hard,Pozzi G.,Santoro F.,43.0,31,,
2001-01-01,2001,Qatar Open,Hard,Rios M.,Ulihrach B.,37.0,76,,
2001-01-01,2001,Qatar Open,Hard,Ulihrach B.,Escude N.,76.0,48,,
2001-01-01,2001,Qatar Open,Hard,Rios M.,Voltchkov V.,37.0,46,,
2001-01-01,2001,Qatar Open,Hard,Voltchkov V.,Kiefer N.,46.0,20,,
2001-01-01,2001,Qatar Open,Hard,Ulihrach B.,Kafelnikov Y.,76.0,5,,
2001-01-01,2001,Qatar Open,Hard,Rios M.,Vicente F.,37.0,47,,
2001-01-01,2001,Qatar Open,Hard,Escude N.,Arazi H.,48.0,30,,
2001-01-01,2001,Qatar Open,Hard,Voltchkov V.,Mirnyi M.,46.0,40,,
2001-01-01,2001,Qatar Open,Hard,Vicente F.,Schalken S.,47.0,22,,
2001-01-01,2001,TATA Open,Hard,Pless K.,Dent T.,197.0,181,,
2001-01-01,2001,Qatar Open,Hard,Ulihrach B.,Rosset M.,76.0,28,,
2001-01-01,2001,Qatar Open,Hard,Kiefer N.,Calatrava A.,20.0,56,,
2001-01-01,2001,Qatar Open,Hard,Kafelnikov Y.,Jonsson F.,5.0,203,,
2001-01-01,2001,Qatar Open,Hard,Escude N.,Boutter J.,48.0,70,,
2001-01-01,2001,Qatar Open,Hard,Arazi H.,di Pasquale A.,30.0,60,,
2001-01-01,2001,Qatar Open,Hard,Voltchkov V.,Gaudio G.,46.0,34,,
2001-01-01,2001,Qatar Open,Hard,Vicente F.,Schuettler R.,47.0,45,,
2001-01-01,2001,Qatar Open,Hard,Ulihrach B.,Coutelot N.,76.0,152,,
2001-01-01,2001,Qatar Open,Hard,Schalken S.,Alami K.,22.0,57,,
2001-01-01,2001,Qatar Open,Hard,Rios M.,Zimonjic N.,37.0,316,,
2001-01-01,2001,Qatar Open,Hard,Rios M.,Pozzi G.,37.0,43,,
2001-01-01,2001,TATA Open,Hard,Pioline C.,Agenor R.,16.0,137,,
2001-01-01,2001,Qatar Open,Hard,Rosset M.,Al-Alawi S.K.,28.0,957,,
2001-01-01,2001,TATA Open,Hard,Wessels P.,Roux L.,150.0,223,,
2001-01-01,2001,AAPT Championships,Hard,Ljubicic I.,Pavel A.,91.0,27,,
2001-01-01,2001,AAPT Championships,Hard,Johansson T.,Vinck C.,39.0,102,,
2001-01-01,2001,AAPT Championships,Hard,Hewitt L.,Phau B.,7.0,208,,
2001-01-01,2001,AAPT Championships,Hard,Henman T.,Tarango J.,10.0,112,,
2001-01-01,2001,AAPT Championships,Hard,Haas T.,Malisse X.,23.0,127,,
2001-01-01,2001,AAPT Championships,Hard,Vinck C.,Popp A.,102.0,86,,
2001-01-01,2001,AAPT Championships,Hard,Tarango J.,Kohlmann M.,112.0,217,,
2001-01-01,2001,AAPT Championships,Hard,Stoltenberg J.,Grosjean S.,66.0,19,,
2001-01-01,2001,AAPT Championships,Hard,Rochus C.,Ilie A.,74.0,50,,
2001-01-01,2001,AAPT Championships,Hard,Martin A.,Rochus C.,79.0,74,,
2001-01-01,2001,AAPT Championships,Hard,Pavel A.,Gimelstob J.,27.0,97,,
2001-01-01,2001,AAPT Championships,Hard,Martin A.,Puentes G.,79.0,92,,
2001-01-01,2001,AAPT Championships,Hard,Malisse X.,Woodruff C.,127.0,67,,
2001-01-01,2001,AAPT Championships,Hard,Ljubicic I.,Sargsian S.,91.0,94,,
2001-01-01,2001,AAPT Championships,Hard,Johansson T.,Mantilla F.,39.0,99,,
2001-01-01,2001,AAPT Championships,Hard,Hewitt L.,Arthurs W.,7.0,83,,
2001-01-01,2001,AAPT Championships,Hard,Henman T.,Rusedski G.,10.0,69,,
2001-01-01,2001,AAPT Championships,Hard,Haas T.,Smith L.,23.0,485,,
2001-01-01,2001,AAPT Championships,Hard,Goldstein P.,Jones A.,81.0,442,,
2001-01-01,2001,TATA Open,Hard,Youzhny M.,Squillari F.,113.0,14,,
2001-01-01,2001,AAPT Championships,Hard,Massu N.,Sluiter R.,87.0,95,,
2001-01-01,2001,AAPT Championships,Hard,Massu N.,Clement A.,87.0,18,,
2001-01-01,2001,AAPT Championships,Hard,Phau B.,Woodbridge T.,208.0,187,,
2001-01-01,2001,AAPT Championships,Hard,Haas T.,Hewitt L.,23.0,7,,
2001-01-01,2001,TATA Open,Hard,Voinea A.,Syed F.,110.0,756,,
2001-01-01,2001,AAPT Championships,Hard,Stoltenberg J.,Goldstein P.,66.0,81,,
2001-01-01,2001,TATA Open,Hard,Vinciguerra A.,Kratochvil M.,52.0,93,,
2001-01-01,2001,TATA Open,Hard,Tabara M.,Gonzalez F.,96.0,115,,
