date,season,tourney_name,surface,player,player_rank,opponent,opponent_rank,odds_for,odds_against,won,matches_played_lastN,winrate_lastN,avg_odds_lastN
2006-09-26,2006,Campionati Internazionali Di Sicilia,Clay, Hajek J.,79.0,Ulihrach B.,362.0,1.5,2.5,1,0.0,,
2006-09-28,2006,Campionati Internazionali Di Sicilia,Clay, Hajek J.,79.0,Verdasco F.,28.0,4.33,1.19,0,1.0,1.0,1.5
2005-01-04,2005,Qatar Exxon Mobil Open,Hard,Abdulla M.,1349.0,Verdasco F.,36.0,,,0,1.0,1.0,1.5
2002-09-09,2002,Brasil Open,Hard,Abel M.,253,Hrbaty D.,44.0,,,0,1.0,1.0,1.5
2002-09-30,2002,Japan Open,Hard,Abel M.,238,Kucera K.,68.0,2.5,1.5,0,2.0,0.5,1.5
2003-02-24,2003,Dubai Championships,Hard,Abel M.,217.0,Heuberger I.,145,2.0,1.72,1,3.0,0.3333333333333333,2.0
2003-02-27,2003,Dubai Championships,Hard,Abel M.,217,Federer R.,5.0,7.5,1.071,0,4.0,0.5,2.0
2003-06-10,2003,Gerry Weber Open,Grass,Abel M.,192,Bjorkman J.,68.0,4.5,1.167,0,5.0,0.4,3.375
2003-07-14,2003,Mercedes Cup,Clay,Abel M.,191.0,Dupuis A.,71,3.75,1.222,1,6.0,0.3333333333333333,3.6
2003-07-16,2003,Mercedes Cup,Clay,Abel M.,191,Schuettler R.,8.0,5.5,1.125,0,7.0,0.42857142857142855,3.625
2003-08-25,2003,US Open,Hard,Abel M.,251,Ulihrach B.,188.0,1.727,2.0,0,8.0,0.375,3.892857142857143
2004-05-10,2004,Hamburg TMS,Clay,Abel M.,411.0,Saretta F.,55.0,3.75,1.25,0,8.0,0.25,3.9252857142857143
2001-02-19,2001,Copa AT&T,Clay,Acasuso J.,172.0,Portas A.,52,,,1,8.0,0.25,3.9252857142857143
2001-02-19,2001,Copa AT&T,Clay,Acasuso J.,172.0,Arazi H.,43,,,1,9.0,0.3333333333333333,3.9252857142857143
2001-02-19,2001,Copa AT&T,Clay,Acasuso J.,172.0,Gaudio G.,29,,,1,9.0,0.4444444444444444,3.9252857142857143
2001-02-19,2001,Copa AT&T,Clay,Acasuso J.,172.0,Squillari F.,17,,,1,9.0,0.5555555555555556,4.162833333333333
2001-02-19,2001,Copa AT&T,Clay,Acasuso J.,172,Kuerten G.,2.0,,,0,9.0,0.5555555555555556,4.5954
2001-02-26,2001,Sybase Open,Hard,Acasuso J.,110,Balcells J.,72.0,,,0,9.0,0.5555555555555556,3.86925
2001-03-05,2001,Franklin Templeton Tennis Classic,Hard,Acasuso J.,109.0,Lee H.T.,80,,,1,9.0,0.5555555555555556,3.6590000000000003
2001-03-05,2001,Franklin Templeton Tennis Classic,Hard,Acasuso J.,109,Norman M.,5.0,,,0,9.0,0.5555555555555556,3.6135
2001-04-23,2001,Open Seat Godo,Clay,Acasuso J.,83,Luzzi F.,180.0,,,0,9.0,0.5555555555555556,1.727
2001-05-28,2001,French Open,Clay,Acasuso J.,91,Enqvist T.,14.0,,,0,9.0,0.5555555555555556,
2001-05-28,2001,French Open,Clay,Acasuso J.,91.0,Gustafsson M.,57,,,1,10.0,0.5,
2001-06-25,2001,Wimbledon,Grass,Acasuso J.,81,Sargsian S.,124.0,,,0,10.0,0.5,
2001-07-09,2001,Swedish Open,Clay,Acasuso J.,80,Portas A.,26.0,,,0,10.0,0.4,
2001-07-09,2001,Swedish Open,Clay,Acasuso J.,80.0,Sanchez D.,95,,,1,10.0,0.3,
2001-07-16,2001,Mercedes Cup,Clay,Acasuso J.,79,Boutter J.,65.0,,,0,10.0,0.3,
2001-07-23,2001,Generali Open,Clay,Acasuso J.,79,Bruguera S.,60.0,,,0,10.0,0.3,
2001-08-27,2001,US Open,Hard,Acasuso J.,77,Mantilla F.,63.0,,,0,10.0,0.3,
2001-09-10,2001,Gelsor Open,Clay,Acasuso J.,83,Behrend T.,144.0,,,0,10.0,0.2,
2001-09-24,2001,Campionati Internazionali Di Sicilia,Clay,Acasuso J.,84,Portas A.,22.0,,,0,10.0,0.2,
2001-09-24,2001,Campionati Internazionali Di Sicilia,Clay,Acasuso J.,84.0,Gross O.,142,,,1,10.0,0.2,
2002-01-14,2002,Australian Open,Hard,Acasuso J.,85,Lapentti N.,27.0,,,0,10.0,0.3,
2002-01-14,2002,Australian Open,Hard,Acasuso J.,85.0,Vacek J.,72,,,1,10.0,0.2,
2002-02-11,2002,Bellsouth Open,Clay,Acasuso J.,78,Gonzalez F.,94.0,,,0,10.0,0.3,
2002-02-11,2002,Bellsouth Open,Clay,Acasuso J.,78.0,Russell M.,91,,,1,10.0,0.3,
2002-02-11,2002,Bellsouth Open,Clay,Acasuso J.,78.0,Blanco G.,54,,,1,10.0,0.3,
2002-02-18,2002,Copa AT&T,Clay,Acasuso J.,73,Lopez F.,203.0,,,0,10.0,0.4,
2002-02-18,2002,Copa AT&T,Clay,Acasuso J.,73.0,Gaudenzi A.,54,,,1,10.0,0.4,
2002-02-18,2002,Copa AT&T,Clay,Acasuso J.,73.0,Portas A.,26,,,1,10.0,0.5,
2002-02-25,2002,Abierto Mexicano,Clay,Acasuso J.,94.0,Bruguera S.,107,,,1,10.0,0.6,
2002-02-25,2002,Abierto Mexicano,Clay,Acasuso J.,94,Moya C.,32.0,,,0,10.0,0.7,
2002-03-18,2002,NASDAQ-100 Open,Hard,Acasuso J.,89,Nieminen J.,66.0,,,0,10.0,0.6,
2002-04-22,2002,Open Seat Godo,Clay,Acasuso J.,110,Ferrero J.C.,2.0,,,0,10.0,0.6,
2002-04-22,2002,Open Seat Godo,Clay,Acasuso J.,110.0,Marin J.A.,109,,,1,10.0,0.5,
2002-04-29,2002,Mallorca Open,Clay,Acasuso J.,107,Pioline C.,94.0,,,0,10.0,0.6,
2002-05-06,2002,Rome TMS,Clay,Acasuso J.,104,Malisse X.,37.0,,,0,10.0,0.5,
2002-05-27,2002,French Open,Clay,Acasuso J.,96,Sanchez D.,64.0,,,0,10.0,0.4,
2002-06-24,2002,Wimbledon,Grass,Acasuso J.,87,Rosset M.,115.0,3.5,1.286,0,10.0,0.4,
2002-07-15,2002,Energis Open,Clay,Acasuso J.,93,Gaudio G.,24.0,2.75,1.4,0,10.0,0.3,3.5
2002-07-15,2002,Energis Open,Clay,Acasuso J.,93.0,Russell M.,167,1.364,2.875,1,10.0,0.2,3.125
2002-07-22,2002,Idea Prokom Open,Clay,Acasuso J.,91.0,Hrbaty D.,52,2.0,1.727,1,10.0,0.2,2.538
2002-07-22,2002,Idea Prokom Open,Clay,Acasuso J.,91.0,Vacek J.,66,1.4,2.75,1,10.0,0.3,2.4035
2002-07-22,2002,Idea Prokom Open,Clay,Acasuso J.,91.0,Moya C.,16,3.25,1.333,1,10.0,0.4,2.2028
2002-07-22,2002,Idea Prokom Open,Clay,Acasuso J.,91.0,Squillari F.,133,1.667,2.1,1,10.0,0.5,2.377333333333333
2002-07-22,2002,Idea Prokom Open,Clay,Acasuso J.,91.0,Horna L.,80,1.533,2.375,1,10.0,0.5,2.275857142857143
2002-08-26,2002,US Open,Hard,Acasuso J.,58,Llodra M.,95.0,2.1,1.667,0,10.0,0.6,2.183
2002-09-09,2002,Open Romania,Clay,Acasuso J.,56,Ferrer D.,81.0,1.667,2.1,0,10.0,0.6,2.1737777777777776
2002-09-09,2002,Open Romania,Clay,Acasuso J.,56.0,Squillari F.,100,1.571,2.25,1,10.0,0.6,2.1231
2002-09-09,2002,Open Romania,Clay,Acasuso J.,56.0,Pavel A.,33,2.1,1.667,1,10.0,0.7,1.9302
2002-09-09,2002,Open Romania,Clay,Acasuso J.,56.0,Norman D.,117,1.333,3.0,1,10.0,0.8,1.8652000000000002
2002-09-09,2002,Open Romania,Clay,Acasuso J.,56.0,Hanescu V.,214,1.286,3.5,1,10.0,0.8,1.8620999999999999
2002-09-23,2002,Campionati Internazionali Di Sicilia,Clay,Acasuso J.,46,Gonzalez F.,24.0,,,0,10.0,0.8,1.7907
2002-09-23,2002,Campionati Internazionali Di Sicilia,Clay,Acasuso J.,46.0,Vinciguerra A.,99,1.125,5.5,1,10.0,0.7,1.8341111111111112
