ATP,Location,tournament,date,Series,Court,surface,Round,Best of,winner,loser,winner_rank,loser_rank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,season,B365W,B365L,B&WW,B&WL,EXW,EXL,PSW,PSL,WPts,LPts,UBW,UBL,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
1,Adelaide,AAPT Championships,2001-01-01,International,Outdoor,Hard,1st Round,3.0,Clement A.,Gaudenzi A.,18.0,101,6.0,7.0,6.0,0.0,6.0,3.0,,,,,2.0,1.0,Completed,,,,,,,,,2001,,,,,,,,,,,,,,,,,,,,,,
1,Adelaide,AAPT Championships,2001-01-01,International,Outdoor,Hard,1st Round,3.0,Goldstein P.,Jones A.,81.0,442,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,,,,,,,,,2001,,,,,,,,,,,,,,,,,,,,,,
1,Adelaide,AAPT Championships,2001-01-01,International,Outdoor,Hard,1st Round,3.0,Haas T.,Smith L.,23.0,485,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,1.12,4.0,1.1,3.5,,,2001,,,,,,,,,,,,,,,,,,,,,,
1,Adelaide,AAPT Championships,2001-01-01,International,Outdoor,Hard,1st Round,3.0,Henman T.,Rusedski G.,10.0,69,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,,,,,,,,,2001,,,,,,,,,,,,,,,,,,,,,,
1,Adelaide,AAPT Championships,2001-01-01,International,Outdoor,Hard,1st Round,3.0,Hewitt L.,Arthurs W.,7.0,83,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.28,3.3,1.12,3.8,,,,,2001,,,,,,,,,,,,,,,,,,,,,,
1,Adelaide,AAPT Championships,2001-01-01,International,Outdoor,Hard,1st Round,3.0,Johansson T.,Mantilla F.,39.0,99,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,,,,,,,,,2001,,,,,,,,,,,,,,,,,,,,,,
1,Adelaide,AAPT Championships,2001-01-01,International,Outdoor,Hard,1st Round,3.0,Ljubicic I.,Sargsian S.,91.0,94,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed,,,,,,,,,2001,,,,,,,,,,,,,,,,,,,,,,
1,Adelaide,AAPT Championships,2001-01-01,International,Outdoor,Hard,1st Round,3.0,Malisse X.,Woodruff C.,127.0,67,2.0,6.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,,,,,,,,,2001,,,,,,,,,,,,,,,,,,,,,,
1,Adelaide,AAPT Championships,2001-01-01,International,Outdoor,Hard,1st Round,3.0,Martin A.,Puentes G.,79.0,92,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,2001,,,,,,,,,,,,,,,,,,,,,,
1,Adelaide,AAPT Championships,2001-01-01,International,Outdoor,Hard,1st Round,3.0,Massu N.,Sluiter R.,87.0,95,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,,,,,2001,,,,,,,,,,,,,,,,,,,,,,
