WTA,Location,tournament,date,Tier,Court,surface,Round,Best of,winner,loser,winner_rank,loser_rank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL,season,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Sun T.T.,Baker L.,81.0,272.0,332.25,90.5,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.33,3,1.38,2.9,,,,,1.35,3.05,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Dulko G.,Myskina A.,59.0,16.0,401.75,1000.0,6.0,1.0,6.0,7.0,6.0,2.0,2.0,1.0,Completed,3.75,1.22,4.5,1.18,3.75,1.25,4.7,1.244,3.75,1.25,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Loit E.,Birnerova E.,56.0,84.0,418.5,324.75,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.72,2,1.9,1.85,1.8,1.95,1.82,2.12,,,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Craybas J.,Nakamura A.,70.0,57.0,365.5,405.0,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,1.83,1.83,2.15,1.66,2.0,1.75,2.05,1.87,,,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Bartoli M.,Morita A.,18.0,180.0,951.0,152.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,1.16,4.5,1.16,4.85,1.2,4.25,1.185,5.9,1.2,4.3,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Pin C.,Perry S.,75.0,44.0,349.0,455.25,6.0,3.0,5.0,7.0,6.0,2.0,2.0,1.0,Completed,2.5,1.5,2.5,1.5,2.5,1.5,2.4,1.667,,,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Daniilidou E.,Kostanic J.,36.0,51.0,538.75,422.75,6.0,3.0,4.0,6.0,6.0,1.0,2.0,1.0,Completed,1.36,2.87,1.28,3.5,1.36,3.0,1.322,3.81,1.36,3.0,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Erakovic M.,Tu M.,162.0,90.0,171.0,312.0,6.0,3.0,4.0,6.0,7.0,5.0,2.0,1.0,Completed,2.5,1.5,2.7,1.43,,,,,,,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Razzano V.,Kanepi K.,88.0,78.0,319.0,343.5,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,1.83,1.83,1.85,1.9,1.91,1.83,1.99,1.917,1.8,1.96,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Laine E.,Johansson M.,74.0,140.0,349.75,204.5,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,1.53,2.37,1.63,2.2,1.63,2.2,1.578,2.63,1.57,2.33,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Meusburger Y.,Bychkova E.,135.0,76.0,210.75,345.0,7.0,5.0,6.0,0.0,,,2.0,0.0,Completed,1.72,2,1.75,2.0,1.75,2.0,1.806,2.14,,,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Suarez P.,Muller M.,178.0,34.0,155.75,545.0,3.0,6.0,6.0,1.0,6.0,1.0,2.0,1.0,Completed,1.57,2.25,1.6,2.25,1.57,2.3,1.556,2.7,1.6,2.28,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Hantuchova D.,Cibulkova D.,17.0,153.0,986.0,181.5,6.0,1.0,3.0,6.0,6.0,2.0,2.0,1.0,Completed,1.28,3.25,1.13,5.4,,,1.185,5.91,1.14,5.25,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Granville L.,Oprandi R.,68.0,53.0,372.5,421.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.66,2.1,1.69,2.1,1.68,2.1,1.649,2.44,1.7,2.1,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Zvonareva V.,Osterloh L.,24.0,118.0,781.0,258.5,5.0,7.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,1.14,5,1.14,5.25,1.18,4.5,1.178,6.11,1.15,5.1,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Jankovic J.,Schruff J.,12.0,82.0,1211.0,326.75,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.12,5.5,1.12,5.65,1.15,5.0,1.159,6.7,1.14,5.25,2007,,,,,,,,,,
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,2nd Round,3,Craybas J.,Dulko G.,70.0,59.0,365.5,401.75,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,1.72,2,1.72,2.05,1.8,1.95,1.741,2.25,1.75,2.0,2007,,,,,,,,,,
