date,Player,surface,won,clay_win_rate_20,clay_match_count_20
2007-02-19,Loit E.,clay,1,,0.0
2007-02-19,Suarez P.,clay,1,,0.0
2007-02-19,Parra Santonja A.,clay,0,,0.0
2007-02-19,Yakimova A.,clay,0,,0.0
2007-02-19,Martinez Granados C.,clay,1,,0.0
2007-02-19,Zahlavova S.,clay,0,,0.0
2007-02-19,Gubacsi Z.,clay,0,,0.0
2007-02-19,Nunez Fuentes V.,clay,0,,0.0
2007-02-19,Duque Marino M.,clay,1,,0.0
2007-02-19,Vierin N.,clay,1,,0.0
2007-02-20,Pennetta F.,clay,1,,0.0
2007-02-20,Zahlavova Strycova B.,clay,1,,0.0
2007-02-20,Woerle K.,clay,0,,0.0
2007-02-20,Ditty J.,clay,0,,0.0
2007-02-20,Errani S.,clay,0,,0.0
2007-02-20,Tatishvili A.,clay,0,,0.0
2007-02-20,Cornet A.,clay,1,,0.0
2007-02-20,Cravero J.,clay,1,,0.0
2007-02-20,Dominguez Lino L.,clay,1,,0.0
2007-02-20,Arn G.,clay,1,,0.0
2007-02-20,Malek T.,clay,0,,0.0
2007-02-20,Garbin T.,clay,1,,0.0
2007-02-20,Marrero M.,clay,0,,0.0
2007-02-20,Llagostera Vives N.,clay,0,,0.0
2007-02-20,Sromova H.,clay,1,,0.0
2007-02-20,Abramovic I.,clay,0,,0.0
2007-02-20,Bohmova K.,clay,0,,0.0
2007-02-20,Cabeza Candela E.,clay,0,,0.0
2007-02-20,Zakopalova K.,clay,1,,0.0
2007-02-20,Vinci R.,clay,1,,0.0
2007-02-20,Parmentier P.,clay,1,,0.0
2007-02-20,Nagy K.,clay,0,,0.0
2007-02-21,Loit E.,clay,1,,1.0
2007-02-21,Zakopalova K.,clay,1,,1.0
2007-02-21,Parmentier P.,clay,0,,1.0
2007-02-21,Vinci R.,clay,1,,1.0
2007-02-21,Cornet A.,clay,0,,1.0
2007-02-21,Vierin N.,clay,1,,1.0
2007-02-21,Suarez P.,clay,0,,1.0
2007-02-21,Martinez Granados C.,clay,0,,1.0
2007-02-22,Dominguez Lino L.,clay,1,,1.0
2007-02-22,Duque Marino M.,clay,0,,1.0
2007-02-22,Arn G.,clay,0,,1.0
2007-02-22,Zahlavova Strycova B.,clay,1,,1.0
2007-02-22,Pennetta F.,clay,1,,1.0
2007-02-22,Sromova H.,clay,0,,1.0
2007-02-22,Cravero J.,clay,0,,1.0
2007-02-22,Garbin T.,clay,1,,1.0
2007-02-23,Pennetta F.,clay,1,,2.0
2007-02-23,Zakopalova K.,clay,0,,2.0
2007-02-23,Garbin T.,clay,1,,2.0
2007-02-23,Zahlavova Strycova B.,clay,0,,2.0
2007-02-23,Vinci R.,clay,1,,2.0
2007-02-23,Dominguez Lino L.,clay,1,,2.0
2007-02-23,Loit E.,clay,0,,2.0
2007-02-23,Vierin N.,clay,0,,2.0
2007-02-24,Garbin T.,clay,1,1.0,3.0
2007-02-24,Dominguez Lino L.,clay,0,1.0,3.0
2007-02-24,Vinci R.,clay,1,1.0,3.0
2007-02-24,Pennetta F.,clay,0,1.0,3.0
2007-02-25,Garbin T.,clay,0,1.0,4.0
2007-02-25,Vinci R.,clay,1,1.0,4.0
2007-02-26,Kanepi K.,clay,1,,0.0
2007-02-26,Martinez Granados C.,clay,0,,2.0
2007-02-26,Loit E.,clay,1,0.6666666666666666,3.0
2007-02-26,Munoz D.,clay,0,,0.0
2007-02-26,Pous Tio L.,clay,1,,0.0
2007-02-26,Sromova H.,clay,0,,2.0
2007-02-27,Dominguez Lino L.,clay,0,0.75,4.0
2007-02-27,Arn G.,clay,0,,2.0
2007-02-27,Harkleroad A.,clay,0,,0.0
2007-02-27,Obziler T.,clay,0,,0.0
2007-02-27,Bartoli M.,clay,1,,0.0
2007-02-27,Dzehalevich E.,clay,0,,0.0
2007-02-27,Vinci R.,clay,1,1.0,5.0
2007-02-27,Pratt N.,clay,0,,0.0
2007-02-27,Birnerova E.,clay,1,,0.0
2007-02-27,Widjaja J.,clay,0,,0.0
2007-02-27,Pin C.,clay,0,,0.0
2007-02-27,Benesova I.,clay,0,,0.0
2007-02-27,Zakopalova K.,clay,0,0.6666666666666666,3.0
2007-02-27,Torres M.,clay,1,,0.0
2007-02-27,Dulko G.,clay,1,,0.0
2007-02-27,Craybas J.,clay,0,,0.0
2007-02-27,Bammer S.,clay,0,,0.0
2007-02-27,Pennetta F.,clay,1,0.75,4.0
2007-02-27,Gubacsi Z.,clay,1,,1.0
2007-02-27,Muller M.,clay,1,,0.0
2007-02-27,Errani S.,clay,1,,1.0
2007-02-27,Cornet A.,clay,1,,2.0
2007-02-27,Bremond S.,clay,1,,0.0
2007-02-27,Schruff J.,clay,1,,0.0
2007-02-28,De Los Rios R.,clay,0,,0.0
2007-02-28,Cornet A.,clay,1,0.6666666666666666,3.0
2007-02-28,Errani S.,clay,1,,2.0
2007-02-28,Birnerova E.,clay,0,,1.0
2007-02-28,Pennetta F.,clay,1,0.8,5.0
2007-02-28,Muller M.,clay,0,,1.0
2007-02-28,Torres M.,clay,1,,1.0
2007-02-28,Garbin T.,clay,1,0.8,5.0
2007-02-28,Kanepi K.,clay,0,,1.0
2007-02-28,Bremond S.,clay,0,,1.0
2007-02-28,Loit E.,clay,1,0.75,4.0
2007-02-28,Vinci R.,clay,0,1.0,6.0
2007-03-01,Cornet A.,clay,0,0.75,4.0
2007-03-01,Gubacsi Z.,clay,0,,2.0
2007-03-01,Loit E.,clay,1,0.8,5.0
