player,elo_global,elo_clay,elo_hard,elo_grass
Sabalenka A.,2154.0315788641324,1919.3393489308255,2092.4045870697914,1802.5181477554834
Barty A.,2149.855340507942,1755.2197723274708,2093.2975296329782,1891.4261421408062
Swiatek I.,2062.695833089369,1984.0369925338987,1967.7482939727604,1878.8313011623884
Rybakina E.,2056.708233169419,1810.517374675316,1989.143640047429,1770.253371758461
Anisimova A.,2042.4828420808826,1649.219272061552,1943.8595692185643,1795.9943747534253
Gauff C.,2013.7679157198136,1903.0486925533824,1931.890439630098,1631.6317843268396
Henin J.,1986.381284533688,1720.9167362230673,1934.837900294628,1736.144080294875
Li N.,1985.2005319831192,1729.3160215556638,2059.8835829533623,1708.472920569501
Pegula J.,1963.1897723743368,1697.870714688673,1929.8813004301894,1704.3591104889497
Paolini J.,1907.2356733390936,1766.5920798465504,1828.8717166106562,1670.5818862254996
Bencic B.,1887.2197851685314,1647.9447403889135,1844.1073645884583,1725.7080900642081
Zheng Q.,1885.4654664051636,1754.3526117272122,1846.1336081944942,1477.4996177670766
Vondrousova M.,1878.0746796044173,1693.4168062074405,1782.5802291306056,1735.1058109871508
Keys M.,1865.196860104827,1764.3892644686878,1867.982663319598,1696.075457208776
Muchova K.,1862.3722361800342,1694.2522551101308,1867.1905834054353,1556.5495579655078
Svitolina E.,1860.9665908948837,1822.5203626687355,1780.2874263870192,1704.9712051249237
Noskova L.,1857.9153574083286,1528.9302217666307,1807.310207213496,1635.3532952495596
Alexandrova E.,1854.967488251669,1656.9390147165077,1775.1762155441513,1726.5264849232149
Osaka N.,1854.4907219768713,1590.0076020831991,1831.8449390206322,1569.5220620996254
Dementieva E.,1844.0163247783019,1701.5907310978826,1805.7714460590037,1722.6446623013105
Krejcikova B.,1833.7850780907963,1587.855954768065,1807.2579257408509,1737.8479189271172
Andreeva M.,1830.8583382878294,1740.8262164206103,1814.183823921286,1602.5975742387018
Pennetta F.,1826.763961460385,1617.776314297334,1826.6869496183797,1518.7713716092098
