date,season,tournament,surface,winner,loser,winner_rank,loser_rank,b365w,b365l
2007-01-01,2007,ASB Classic,Hard,Sun T.T.,Baker L.,81.0,272.0,1.33,3
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Peer S.,Shaughnessy M.,20.0,37.0,1.25,3.5
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Li N.,Zahlavova S.,21.0,156.0,1.16,4.5
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Srebotnik K.,King V.,23.0,60.0,1.53,2.37
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Poutchkova O.,Fedak Y.,39.0,80.0,1.5,2.5
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Garbin T.,Groenefeld A.L.,38.0,19.0,2.0,1.72
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Pratt N.,Bovina E.,77.0,1431.0,1.57,2.25
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Kirilenko M.,Pennetta F.,30.0,28.0,2.37,1.53
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Stosur S.,Peng S.,29.0,55.0,1.44,2.62
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Ivanovic A.,Vinci R.,14.0,85.0,1.19,4
2007-01-01,2007,ASB Classic,Hard,Razzano V.,Kanepi K.,88.0,78.0,1.83,1.83
2007-01-01,2007,ASB Classic,Hard,Laine E.,Johansson M.,74.0,140.0,1.53,2.37
2007-01-01,2007,ASB Classic,Hard,Loit E.,Birnerova E.,56.0,84.0,1.72,2
2007-01-01,2007,ASB Classic,Hard,Craybas J.,Nakamura A.,70.0,57.0,1.83,1.83
2007-01-01,2007,ASB Classic,Hard,Bartoli M.,Morita A.,18.0,180.0,1.16,4.5
2007-01-01,2007,ASB Classic,Hard,Dulko G.,Myskina A.,59.0,16.0,3.75,1.22
2007-01-01,2007,ASB Classic,Hard,Daniilidou E.,Kostanic J.,36.0,51.0,1.36,2.87
2007-01-01,2007,ASB Classic,Hard,Erakovic M.,Tu M.,162.0,90.0,2.5,1.5
2007-01-01,2007,ASB Classic,Hard,Pin C.,Perry S.,75.0,44.0,2.5,1.5
2007-01-03,2007,Qatar Total Open,Hard,Hantuchova D.,Hingis M.,19.0,6.0,4.0,1.22
2007-01-03,2007,Qatar Total Open,Hard,Henin J.,Schnyder P.,2.0,13.0,1.1,6.5
2007-01-03,2007,Qatar Total Open,Hard,Kuznetsova S.,Schiavone F.,5.0,25.0,1.16,4.5
