date,season,tourney_name,surface,player,player_rank,opponent,opponent_rank,odds_for,odds_against,won
2007-01-01,2007,ASB Classic,Hard,Sun T.T.,81.0,Baker L.,272.0,1.33,3.0,1
2007-01-01,2007,ASB Classic,Hard,Tu M.,90.0,Erakovic M.,162.0,1.5,2.5,0
2007-01-01,2007,ASB Classic,Hard,Kostanic J.,51.0,Daniilidou E.,36.0,2.87,1.36,0
2007-01-01,2007,ASB Classic,Hard,Myskina A.,16.0,Dulko G.,59.0,1.22,3.75,0
2007-01-01,2007,ASB Classic,Hard,Morita A.,180.0,Bartoli M.,18.0,4.5,1.16,0
2007-01-01,2007,ASB Classic,Hard,Nakamura A.,57.0,Craybas J.,70.0,1.83,1.83,0
2007-01-01,2007,ASB Classic,Hard,Birnerova E.,84.0,Loit E.,56.0,2.0,1.72,0
2007-01-01,2007,ASB Classic,Hard,Johansson M.,140.0,Laine E.,74.0,2.37,1.53,0
2007-01-01,2007,ASB Classic,Hard,Perry S.,44.0,Pin C.,75.0,1.5,2.5,0
2007-01-01,2007,ASB Classic,Hard,Kanepi K.,78.0,Razzano V.,88.0,1.83,1.83,0
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Peng S.,55.0,Stosur S.,29.0,2.62,1.44,0
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Pennetta F.,28.0,Kirilenko M.,30.0,1.53,2.37,0
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Bovina E.,1431.0,Pratt N.,77.0,2.25,1.57,0
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Groenefeld A.L.,19.0,Garbin T.,38.0,1.72,2.0,0
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Fedak Y.,80.0,Poutchkova O.,39.0,2.5,1.5,0
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,King V.,60.0,Srebotnik K.,23.0,2.37,1.53,0
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Zahlavova S.,156.0,Li N.,21.0,4.5,1.16,0
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Vinci R.,85.0,Ivanovic A.,14.0,4.0,1.19,0
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Shaughnessy M.,37.0,Peer S.,20.0,3.5,1.25,0
2007-01-01,2007,ASB Classic,Hard,Baker L.,272.0,Sun T.T.,81.0,3.0,1.33,0
2007-01-01,2007,ASB Classic,Hard,Pin C.,75.0,Perry S.,44.0,2.5,1.5,1
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Peer S.,20.0,Shaughnessy M.,37.0,1.25,3.5,1
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Li N.,21.0,Zahlavova S.,156.0,1.16,4.5,1
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Srebotnik K.,23.0,King V.,60.0,1.53,2.37,1
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Poutchkova O.,39.0,Fedak Y.,80.0,1.5,2.5,1
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Garbin T.,38.0,Groenefeld A.L.,19.0,2.0,1.72,1
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Pratt N.,77.0,Bovina E.,1431.0,1.57,2.25,1
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Kirilenko M.,30.0,Pennetta F.,28.0,2.37,1.53,1
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Stosur S.,29.0,Peng S.,55.0,1.44,2.62,1
2007-01-01,2007,Mondial Australian Women's Hardcourts,Hard,Ivanovic A.,14.0,Vinci R.,85.0,1.19,4.0,1
2007-01-01,2007,ASB Classic,Hard,Laine E.,74.0,Johansson M.,140.0,1.53,2.37,1
2007-01-01,2007,ASB Classic,Hard,Loit E.,56.0,Birnerova E.,84.0,1.72,2.0,1
2007-01-01,2007,ASB Classic,Hard,Craybas J.,70.0,Nakamura A.,57.0,1.83,1.83,1
2007-01-01,2007,ASB Classic,Hard,Bartoli M.,18.0,Morita A.,180.0,1.16,4.5,1
2007-01-01,2007,ASB Classic,Hard,Dulko G.,59.0,Myskina A.,16.0,3.75,1.22,1
2007-01-01,2007,ASB Classic,Hard,Daniilidou E.,36.0,Kostanic J.,51.0,1.36,2.87,1
2007-01-01,2007,ASB Classic,Hard,Erakovic M.,162.0,Tu M.,90.0,2.5,1.5,1
2007-01-01,2007,ASB Classic,Hard,Razzano V.,88.0,Kanepi K.,78.0,1.83,1.83,1
2007-01-03,2007,Qatar Total Open,Hard,Schiavone F.,25.0,Kuznetsova S.,5.0,4.5,1.16,0
2007-01-03,2007,Qatar Total Open,Hard,Hingis M.,6.0,Hantuchova D.,19.0,1.22,4.0,0
2007-01-03,2007,Qatar Total Open,Hard,Schnyder P.,13.0,Henin J.,2.0,6.5,1.1,0
2007-01-03,2007,Qatar Total Open,Hard,Bondarenko K.,131.0,Jankovic J.,10.0,10.0,1.03,0
2007-01-03,2007,Qatar Total Open,Hard,Henin J.,2.0,Schnyder P.,13.0,1.1,6.5,1
2007-01-03,2007,Qatar Total Open,Hard,Jankovic J.,10.0,Bondarenko K.,131.0,1.03,10.0,1
2007-01-03,2007,Qatar Total Open,Hard,Kuznetsova S.,5.0,Schiavone F.,25.0,1.16,4.5,1
2007-01-03,2007,Qatar Total Open,Hard,Hantuchova D.,19.0,Hingis M.,6.0,4.0,1.22,1
2007-01-08,2007,Acura Classic,Hard,Mirza S.,31.0,Daniilidou E.,44.0,1.28,3.5,1
2007-01-08,2007,Acura Classic,Hard,Hingis M.,13.0,Krajicek M.,33.0,1.5,2.5,1
2007-01-08,2007,Nordea Nordic Light Open,Hard,Dushevina V.,66.0,Laine E.,168.0,1.25,3.75,1
2007-01-08,2007,Nordea Nordic Light Open,Hard,Loit E.,37.0,Ruano Pascual V.,78.0,1.3,3.39,1
2007-01-08,2007,Nordea Nordic Light Open,Hard,Goerges J.,177.0,Zakopalova K.,84.0,2.25,1.57,1
2007-01-08,2007,Nordea Nordic Light Open,Hard,Radwanska A.,35.0,Domachowska M.,196.0,,,1
2007-01-08,2007,Acura Classic,Hard,Kirilenko M.,42.0,Safarova L.,24.0,2.75,1.39,1
2007-01-08,2007,Acura Classic,Hard,Hantuchova D.,10.0,Azarenka V.,45.0,1.28,3.5,1
2007-01-08,2007,Acura Classic,Hard,Williams V.,16.0,Razzano V.,59.0,1.03,11.0,1
2007-01-08,2007,Acura Classic,Hard,Jankovic J.,3.0,King V.,86.0,1.06,8.0,1
2007-01-08,2007,Acura Classic,Hard,Chakvetadze A.,6.0,Shaughnessy M.,43.0,1.11,6.0,1
2007-01-08,2007,Acura Classic,Hard,Golovin T.,19.0,Kremer A.,125.0,1.11,6.0,1
2007-01-08,2007,Acura Classic,Hard,Safina D.,14.0,Pin C.,93.0,1.2,4.33,1
2007-01-08,2007,Acura Classic,Hard,Sugiyama A.,30.0,Bammer S.,21.0,3.75,1.25,1
2007-01-08,2007,Acura Classic,Hard,Srebotnik K.,23.0,Bondarenko A.,22.0,2.2,1.61,1
2007-01-08,2007,Nordea Nordic Light Open,Hard,Pironkova T.,131.0,Groenefeld A.L.,156.0,1.66,2.1,1
2007-01-08,2007,Acura Classic,Hard,Schnyder P.,17.0,Kudryavtseva A.,67.0,1.16,4.5,1
