date,season,tourney_name,surface,player,player_rank,opponent,opponent_rank,odds_for,odds_against,won,matches_played_lastN,winrate_lastN,avg_odds_lastN
2014-07-28,2014,Citi Open,Hard,Abanda F.,214.0,King V.,76.0,3.0,1.36,0,0.0,,
2014-08-04,2014,Rogers Cup,Hard,Abanda F.,209.0,Cibulkova D.,12.0,10.0,1.06,0,1.0,0.0,3.0
2014-08-25,2014,US Open,Hard,Abanda F.,205.0,Lisicki S.,28.0,5.0,1.16,0,2.0,0.0,6.5
2014-09-10,2014,Coupe Banque Nationale,Hard,Abanda F.,179.0,Williams V.,19.0,6.5,1.11,0,3.0,0.0,6.0
2015-03-24,2015,Sony Ericsson Open,Hard,Abanda F.,235.0,Kanepi K.,51.0,4.0,1.22,0,4.0,0.0,6.125
2015-08-11,2015,Rogers Cup,Hard,Abanda F.,315.0,Petkovic A.,16.0,10.0,1.05,0,5.0,0.0,5.7
2015-09-16,2015,Coupe Banque Nationale,Hard,Abanda F.,374.0,Lucic M.,104.0,4.5,1.18,0,6.0,0.0,6.416666666666667
2016-07-19,2016,Citi Open,Hard,Abanda F.,274.0,Arconada U.M.,620.0,1.4,2.75,0,7.0,0.0,6.142857142857143
2016-07-26,2016,Rogers Cup,Hard,Abanda F.,274.0,Zheng S.,74.0,4.0,1.22,1,8.0,0.0,5.55
2016-07-27,2016,Rogers Cup,Hard,Abanda F.,274.0,Svitolina E.,20.0,6.0,1.12,0,8.0,0.125,5.675
2016-09-14,2016,Coupe Banque Nationale,Hard,Abanda F.,201.0,Barthel M.,114.0,2.62,1.44,1,8.0,0.125,5.175
2016-09-16,2016,Coupe Banque Nationale,Hard,Abanda F.,201.0,Pegula J.,161.0,1.83,1.83,0,8.0,0.25,4.8775
2017-05-29,2017,French Open,Clay,Abanda F.,195.0,Andrianjafitrimo T.,269.0,1.5,2.62,1,8.0,0.25,4.29375
2017-05-31,2017,French Open,Clay,Abanda F.,195.0,Wozniacki C.,12.0,6.0,1.12,0,8.0,0.375,3.98125
2017-07-03,2017,Wimbledon,Grass,Abanda F.,142.0,Nara K.,94.0,1.8,2.0,1,8.0,0.375,3.48125
2017-07-05,2017,Wimbledon,Grass,Abanda F.,142.0,Ostapenko J.,13.0,6.5,1.11,0,8.0,0.5,3.1437500000000003
2017-07-31,2017,Citi Open,Hard,Abanda F.,131.0,Goerges J.,40.0,3.5,1.28,0,8.0,0.5,3.78125
2017-08-08,2017,Rogers Cup,Hard,Abanda F.,132.0,Safarova L.,41.0,3.25,1.33,0,8.0,0.375,3.71875
2017-08-15,2017,Western & Southern Financial Group Women's Open,Hard,Abanda F.,133.0,Linette M.,84.0,2.0,1.72,1,8.0,0.375,3.375
2017-08-16,2017,Western & Southern Financial Group Women's Open,Hard,Abanda F.,133.0,Goerges J.,37.0,4.0,1.22,0,8.0,0.375,3.2975000000000003
2017-09-13,2017,Coupe Banque Nationale,Hard,Abanda F.,122.0,Muhammad A.,144.0,1.4,2.75,1,8.0,0.375,3.5687499999999996
2017-09-14,2017,Coupe Banque Nationale,Hard,Abanda F.,122.0,Lepchenko V.,74.0,2.2,1.61,1,8.0,0.375,3.55625
