player,rank
Sabalenka A.,1
Swiatek I.,2
Gauff C.,3
Anisimova A.,4
Rybakina E.,5
Pegula J.,6
Andreeva M.,7
Paolini J.,8
Keys M.,9
Bencic B.,10
Alexandrova E.,11
Svitolina E.,12
Noskova L.,13
Tauson C.,14
Navarro E.,15
Mboko V.,16
Osaka N.,17
Samsonova L.,18
Muchova K.,19
Kostyuk M.,20
Mertens E.,21
Shnaider D.,22
Fernandez L.,23
Ostapenko J.,24
Zheng Q.,25
Badosa P.,26
Jovic I.,27
Yastremska D.,28
Raducanu E.,29
Kenin S.,30
Joint M.,31
Kudermetova V.,32
Kalinskaya A.,33
Vondrousova M.,34
Cristian J.,35
Boisson L.,36
Kessler M.,37
Li A.,38
Lys E.,39
Bouzas Maneiro J.,40
Cirstea S.,41
Maria T.,42
Kasatkina D.,43
Bouzkova M.,44
Siniakova K.,45
Wang X.,46
Pavlyuchenkova A.,47
Siegemund L.,48
Eala A.,49
Linette M.,50
Arango E.,51
Bucsa C.,52
Sakkari M.,53
Valentova T.,54
Potapova A.,55
Cocciaretto E.,56
Frech M.,57
Krejcikova B.,58
Tjen J.,59
Jacquemot E.,60
Haddad Maia B.,61
Krueger A.,62
Sierra S.,63
Blinkova A.,64
Ruzic A.,65
Kartal S.,66
Collins D.,67
Stearns P.,68
Danilovic O.,69
Baptiste H.,70
Jones F.,71
Vekic D.,72
Sramkova R.,73
Bondar A.,74
Zhang S.,75
Birrell K.,76
Gracheva V.,77
Tomljanovic A.,78
Ruse E.-G.,79
Zarazua R.,80
Marcinko P.,81
Seidel E.,82
Golubic V.,83
Osorio C.,84
McNally C.,85
Sun L.,86
Waltert S.,87
Uchijima M.,88
Bejlek S.,89
Udvardy P.,90
Galfi D.,91
Oliynykova O.,92
Rakhimova K.,93
Putintseva Y.,94
Grabher J.,95
Volynets K.,96
Lamens S.,97
Semenistaja D.,98
Parks A.,99
Juvan K.,100
