,wins,prob
Swiatek I.,802,0.0802
Potapova A.,372,0.0372
Keys M.,346,0.0346
Gauff C.,338,0.0338
Pegula J.,273,0.0273
Svitolina E.,271,0.0271
Andreeva M.,227,0.0227
Sabalenka A.,215,0.0215
Joint M.,204,0.0204
Kasatkina D.,185,0.0185
Rybakina E.,177,0.0177
Blinkova A.,170,0.017
Kostyuk M.,166,0.0166
Shnaider D.,159,0.0159
Kalinina A.,157,0.0157
Alexandrova E.,157,0.0157
Tauson C.,152,0.0152
Siniakova K.,134,0.0134
Muchova K.,129,0.0129
Paolini J.,125,0.0125
Ostapenko J.,124,0.0124
Anisimova A.,124,0.0124
Pavlyuchenkova A.,122,0.0122
Osaka N.,121,0.0121
Kenin S.,119,0.0119
Cocciaretto E.,116,0.0116
Noskova L.,114,0.0114
Navarro E.,111,0.0111
Jovic I.,104,0.0104
Putintseva Y.,103,0.0103
Mertens E.,102,0.0102
Bartunkova N.,101,0.0101
Badosa P.,100,0.01
Valentova T.,99,0.0099
Mboko V.,98,0.0098
Townsend T.,96,0.0096
Bencic B.,95,0.0095
Cirstea S.,92,0.0092
Kessler M.,89,0.0089
Osorio C.,87,0.0087
Birrell K.,87,0.0087
Sasnovich A.,83,0.0083
Klimovicova L.,83,0.0083
Stearns P.,81,0.0081
Bejlek S.,81,0.0081
Marcinko P.,80,0.008
Ruse E.,79,0.0079
Oliynykova O.,78,0.0078
Jones E.,75,0.0075
Pliskova K.,75,0.0075
Golubic V.,75,0.0075
Diyas Z.,72,0.0072
Maia B.,70,0.007
Kartal S.,69,0.0069
Reales G.,69,0.0069
Linette M.,69,0.0069
Sierra S.,66,0.0066
Baptiste H.,65,0.0065
Selekhmeteva O.,60,0.006
Danilovic O.,60,0.006
Samsonova L.,60,0.006
Semenistaja D.,60,0.006
Stephens S.,59,0.0059
Boulter K.,58,0.0058
Tomljanovic A.,57,0.0057
Vekic D.,56,0.0056
Yastremska D.,53,0.0053
Siegemund L.,50,0.005
Frech M.,49,0.0049
Krueger A.,48,0.0048
Maneiro J.,48,0.0048
Parks A.,48,0.0048
Krejcikova B.,47,0.0047
Li A.,47,0.0047
Raducanu E.,45,0.0045
Yuan Y.,44,0.0044
McNally C.,38,0.0038
Rajaonah T.,38,0.0038
Zhang S.,36,0.0036
Stakusic M.,36,0.0036
Zarazua R.,35,0.0035
Ruzic A.,34,0.0034
Jeanjean L.,33,0.0033
Kalinskaya A.,32,0.0032
Volynets K.,31,0.0031
Gracheva V.,26,0.0026
Bondar A.,26,0.0026
Fruhvirtova L.,26,0.0026
Bouzkova M.,26,0.0026
Starodubtseva Y.,25,0.0025
Maria T.,25,0.0025
Sonmez Z.,24,0.0024
Erjavec V.,24,0.0024
Arango E.,24,0.0024
Sramkova R.,20,0.002
Fernandez L.,20,0.002
Lamens S.,20,0.002
Sun L.,20,0.002
Sakkari M.,20,0.002
Hon P.,15,0.0015
Sakatsume H.,14,0.0014
Kudermetova P.,13,0.0013
Jones F.,13,0.0013
Williams V.,13,0.0013
Galfi D.,12,0.0012
Bai Z.,12,0.0012
Seidel E.,12,0.0012
Cristian J.,11,0.0011
Wang X.,11,0.0011
Preston T.,9,0.0009
Eala A.,8,0.0008
Jacquemot E.,7,0.0007
Rakhimova K.,7,0.0007
Udvardy P.,6,0.0006
Mandlik E.,5,0.0005
Sawangkaew M.,4,0.0004
Tjen J.,2,0.0002
Juvan K.,2,0.0002
Tararudee L.,1,0.0001
Uchijima M.,1,0.0001
Hunter S.,1,0.0001
