player,wins,title_prob
Sinner J.,678,0.0678
Alcaraz C.,376,0.0376
Djokovic N.,370,0.037
Vacherot V.,304,0.0304
Tien L.,231,0.0231
Medvedev D.,225,0.0225
Hurkacz H.,208,0.0208
Fonseca J.,190,0.019
Ruud C.,189,0.0189
Humbert U.,187,0.0187
Fucsovics M.,174,0.0174
Tabilo A.,173,0.0173
Dimitrov G.,151,0.0151
Sonego L.,148,0.0148
Norrie C.,148,0.0148
Moutet C.,147,0.0147
Lehecka J.,147,0.0147
Tiafoe F.,142,0.0142
Auger-Aliassime F.,135,0.0135
Cerundolo F.,130,0.013
Yibing W.,126,0.0126
Musetti L.,126,0.0126
Zverev A.,119,0.0119
Etcheverry T.,118,0.0118
Bonzi B.,115,0.0115
Agut R.,111,0.0111
Paul T.,111,0.0111
Munar J.,108,0.0108
Rublev A.,107,0.0107
Hanfmann Y.,106,0.0106
Rinderknech A.,105,0.0105
Minaur A.,105,0.0105
Brooksby J.,104,0.0104
Duckworth J.,103,0.0103
Cerundolo J.,99,0.0099
Struff J.,96,0.0096
Fokina A.,90,0.009
Jodar R.,89,0.0089
Fritz T.,88,0.0088
Comesana F.,86,0.0086
Bublik A.,85,0.0085
Diallo G.,84,0.0084
Shevchenko A.,82,0.0082
Zandschulp B.,80,0.008
Nava E.,76,0.0076
Borges N.,74,0.0074
Majchrzak K.,72,0.0072
Jong J.,71,0.0071
Mensik J.,71,0.0071
Khachanov K.,70,0.007
Perricard G.,70,0.007
Michelsen A.,67,0.0067
Kecmanovic M.,66,0.0066
Royer V.,65,0.0065
Korda S.,65,0.0065
Tsitsipas S.,65,0.0065
Busta P.,63,0.0063
Thompson J.,63,0.0063
Vukic A.,61,0.0061
Atmane T.,60,0.006
Bu Y.,60,0.006
Shelton B.,58,0.0058
Tirante T.,58,0.0058
Navone M.,57,0.0057
Bergs Z.,57,0.0057
Faria J.,56,0.0056
Basavareddy N.,55,0.0055
Marozsan F.,54,0.0054
Machac T.,54,0.0054
Kjaer N.,53,0.0053
Taberner C.,52,0.0052
Carabelli C.,51,0.0051
Shapovalov D.,51,0.0051
Cobolli F.,50,0.005
Garin C.,50,0.005
Svrcina D.,50,0.005
Medjedovic H.,47,0.0047
Muller A.,45,0.0045
Misolic F.,45,0.0045
Giron M.,45,0.0045
Mannarino A.,41,0.0041
Spizzirri E.,41,0.0041
Nakashima B.,40,0.004
Shang J.,39,0.0039
Zheng M.,39,0.0039
Quinn E.,37,0.0037
Collignon R.,33,0.0033
McDonald M.,32,0.0032
Cilic M.,32,0.0032
Griekspoor T.,31,0.0031
Opelka R.,31,0.0031
Damm M.,30,0.003
Hijikata R.,29,0.0029
Arnaldi M.,29,0.0029
Wawrinka S.,28,0.0028
Altmaier D.,28,0.0028
Svajda Z.,27,0.0027
Kubler J.,26,0.0026
Sweeny D.,24,0.0024
Popyrin A.,24,0.0024
Draxl L.,21,0.0021
Baez S.,21,0.0021
Walton A.,20,0.002
Kovacevic A.,20,0.002
Mochizuki S.,18,0.0018
Blockx A.,18,0.0018
Schoolkate T.,17,0.0017
Gaston H.,16,0.0016
Bellucci M.,16,0.0016
Darderi L.,16,0.0016
Kypson P.,15,0.0015
Prizmic D.,15,0.0015
Dzumhur D.,15,0.0015
Nardi L.,14,0.0014
Monfils G.,13,0.0013
Djere L.,13,0.0013
Halys Q.,11,0.0011
Ymer E.,10,0.001
Martinez P.,9,0.0009
Kopriva V.,9,0.0009
Fearnley J.,7,0.0007
Zhang Z.,7,0.0007
Gea A.,5,0.0005
O'Connell C.,4,0.0004
Sakamoto R.,3,0.0003
Maestrelli F.,2,0.0002
Jacquet K.,1,0.0001
