player,mean_prob,ci_low,ci_high
Alcaraz C.,0.28092,0.25795,0.30205
Sinner J.,0.23609000000000002,0.214,0.26
Djokovic N.,0.11930000000000002,0.103,0.13805
Zverev A.,0.05001500000000001,0.04,0.063
Ruud C.,0.028750000000000005,0.020950000000000003,0.03604999999999998
Musetti L.,0.026875,0.018,0.035
Yibing W.,0.012615000000000003,0.007,0.018
Medvedev D.,0.011015000000000002,0.006,0.016049999999999984
Minaur A.,0.010395000000000001,0.006,0.017
Auger-Aliassime F.,0.010350000000000002,0.005,0.016
Agut R.,0.010015000000000001,0.005,0.016
Rublev A.,0.00964,0.005,0.014049999999999983
Norrie C.,0.009349999999999999,0.004,0.015
Paul T.,0.00895,0.004,0.014
Perricard G.,0.008579999999999999,0.004950000000000001,0.014
Zandschulp B.,0.00831,0.004,0.013
