player,mean_prob,ci_low,ci_high
Sabalenka A.,0.028885000000000004,0.020950000000000003,0.03804999999999998
Swiatek I.,0.023319999999999997,0.015,0.032
Anisimova A.,0.020325000000000003,0.01395,0.027
Keys M.,0.019955000000000004,0.013,0.028
Svitolina E.,0.01932,0.013,0.027
Andreeva M.,0.01908,0.013,0.026
Gauff C.,0.017395,0.011,0.025049999999999985
Wang X.,0.01731,0.01095,0.025
Alexandrova E.,0.014955000000000001,0.009,0.021
Rybakina E.,0.014910000000000001,0.008,0.022
Pegula J.,0.014455,0.00995,0.02
Paolini J.,0.0126,0.007,0.018
Kessler M.,0.012385000000000002,0.007,0.019
Mertens E.,0.011775000000000002,0.007,0.017
Tauson C.,0.011760000000000001,0.007,0.017049999999999985
Cirstea S.,0.011680000000000001,0.006,0.018
