player,wins,title_prob
Sabalenka A.,3288,0.3288
Swiatek I.,2444,0.2444
Rybakina E.,1180,0.118
Gauff C.,1080,0.108
Anisimova A.,498,0.0498
Pegula J.,250,0.025
Svitolina E.,237,0.0237
Andreeva M.,141,0.0141
Bencic B.,133,0.0133
Keys M.,113,0.0113
Paolini J.,110,0.011
Zheng Q.,95,0.0095
Muchova K.,83,0.0083
Alexandrova E.,72,0.0072
Osaka N.,36,0.0036
Krejcikova B.,31,0.0031
Samsonova L.,24,0.0024
Noskova L.,21,0.0021
Kostyuk M.,19,0.0019
Mboko V.,15,0.0015
Raducanu E.,14,0.0014
Tauson C.,11,0.0011
Navarro E.,11,0.0011
Bouzkova M.,8,0.0008
Mertens E.,8,0.0008
Potapova A.,7,0.0007
Cirstea S.,7,0.0007
Shnaider D.,6,0.0006
Boisson L.,6,0.0006
Sakkari M.,6,0.0006
Lys E.,6,0.0006
Kalinskaya A.,4,0.0004
Cristian J.,4,0.0004
Li A.,3,0.0003
Ostapenko J.,3,0.0003
Joint M.,3,0.0003
Kasatkina D.,3,0.0003
Siniakova K.,2,0.0002
Sramkova R.,2,0.0002
Osorio C.,2,0.0002
Kessler M.,2,0.0002
Kenin S.,2,0.0002
Kovinic D.,1,0.0001
Burel C.,1,0.0001
Valentova T.,1,0.0001
Golubic V.,1,0.0001
Marcinko P.,1,0.0001
Galfi D.,1,0.0001
Ribera M.,1,0.0001
Siegemund L.,1,0.0001
Parry D.,1,0.0001
Bucsa C.,1,0.0001
